,amazement,solemnity,tenderness,nostalgia,calmness,power,joyful_activation,tension,sadness
admiration,0,0,0,0,0,1,0,0,0
amusement,1,0,0,0,0,0,0,0,0
anger,0,0,0,0,0,0,0,1,0
annoyance,0,0,0,0,0,0,0,0,1
approval,0,0,0,0,0,1,0,0,0
caring,0,0,1,0,0,0,0,0,0
confusion,0,0,0,0,0,0,0,1,0
curiosity,1,0,0,0,0,0,0,0,0
desire,0,0,1,0,0,0,0,0,0
disappointment,0,0,0,0,0,0,0,0,1
disapproval,0,0,0,0,0,0,0,1,0
disgust,0,0,0,0,0,0,0,0,1
embarassment,0,0,0,0,0,0,0,1,0
excitement,0,0,0,0,0,0,1,0,0
fear,0,0,0,0,0,0,0,1,0
gratitude,0,0,0,0,0,0,1,0,0
grief,0,0,0,0,0,1,0,0,0
joy,0,0,0,0,0,0,1,0,0
love,0,0,1,0,0,0,0,0,0
nervousness,0,0,0,0,0,0,0,1,0
optimism,0,0,0,0,0,1,0,0,0
pride,0,1,0,0,0,0,0,0,0
realization,0,0,0,0,0,1,0,0,0
relief,0,0,0,0,1,0,0,0,0
remorse,0,0,0,1,0,0,0,0,0
sadness,0,0,0,0,0,0,0,0,1
surprise,1,0,0,0,0,0,0,0,0
neutral,0,1,0,0,0,0,0,0,0
